"browser","version","useragent_string","first_visit","last_visit","detail_url"
"Chrome","41.0.2228.0","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36",2014-11-23 10:31:00,2026-01-03 05:11:00,"/Chrome41.0.2228.0_id_19841.php"
"Chrome","41.0.2227.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36",2014-11-23 04:50:00,2025-01-25 09:13:00,"/Chrome41.0.2227.1_id_19830.php"
"Chrome","41.0.2227.0","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36",2014-11-22 07:28:00,2025-12-15 10:19:00,"/Chrome41.0.2227.0_id_19850.php"
"Chrome","41.0.2227.0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36",2014-11-22 02:18:00,2025-09-20 06:22:00,"/Chrome41.0.2227.0_id_19852.php"
"Chrome","41.0.2226.0","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2226.0 Safari/537.36",2014-11-23 12:42:00,2025-07-25 02:29:00,"/Chrome41.0.2226.0_id_19845.php"
"Chrome","41.0.2225.0","Mozilla/5.0 (Windows NT 6.4; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36",2014-11-22 02:14:00,2025-12-28 10:13:00,"/Chrome41.0.2225.0_id_19853.php"
"Chrome","41.0.2225.0","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36",2014-11-21 03:22:00,2025-12-09 12:50:00,"/Chrome41.0.2225.0_id_19861.php"
"Chrome","41.0.2224.3","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36",2014-11-23 02:21:00,2025-12-29 10:06:00,"/Chrome41.0.2224.3_id_19837.php"
"Chrome","40.0.2214.93","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",2015-09-27 07:11:00,2025-09-30 01:15:00,"/Chrome40.0.2214.93_id_19917.php"
"Chrome","37.0.2062.124","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36",2014-11-21 09:25:00,2025-10-20 02:14:00,"/Chrome37.0.2062.124_id_19859.php"
"Chrome","37.0.2049.0","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2049.0 Safari/537.36",2014-06-14 10:42:00,2026-01-10 12:49:00,"/Chrome37.0.2049.0_id_19804.php"
"Chrome","37.0.2049.0","Mozilla/5.0 (Windows NT 4.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2049.0 Safari/537.36",2014-11-23 12:45:00,2026-01-01 06:16:00,"/Chrome37.0.2049.0_id_19839.php"
"Chrome","36.0.1985.67","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36",2014-06-14 10:26:00,2025-03-27 06:28:00,"/Chrome36.0.1985.67_id_19805.php"
"Chrome","36.0.1985.67","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36",2014-06-13 10:32:00,2025-11-28 06:53:00,"/Chrome36.0.1985.67_id_19810.php"
"Chrome","36.0.1985.125","Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36",2014-11-23 07:02:00,2025-12-23 07:16:00,"/Chrome36.0.1985.125_id_19843.php"
"Chrome","36.0.1944.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36",2014-04-20 12:12:00,2025-08-27 02:29:00,"/Chrome36.0.1944.0_id_19790.php"
"Chrome","35.0.3319.102","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.3319.102 Safari/537.36",2014-11-23 03:37:00,2025-07-25 02:29:00,"/Chrome35.0.3319.102_id_19833.php"
"Chrome","35.0.2309.372","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36",2014-11-23 03:18:00,2025-07-21 12:24:00,"/Chrome35.0.2309.372_id_19834.php"
"Chrome","35.0.2117.157","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36",2014-11-23 01:05:00,2024-05-02 07:18:00,"/Chrome35.0.2117.157_id_19838.php"
"Chrome","35.0.1916.47","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.47 Safari/537.36",2014-04-20 02:12:00,2025-02-01 02:07:00,"/Chrome35.0.1916.47_id_19788.php"
"Chrome","34.0.1866.237","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1866.237 Safari/537.36",2014-11-23 09:41:00,2025-07-28 08:24:00,"/Chrome34.0.1866.237_id_19842.php"
"Chrome","34.0.1847.137","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/4E423F",2014-11-22 02:20:00,2025-10-29 10:57:00,"/Chrome34.0.1847.137_id_19851.php"
